"Tag","BankLabel","Capacity","Speed","Manufacturer","ConfiguredClockSpeed","PartNumber"
"Physical Memory 0","BANK 0","17179869184","6400","JUHOR","6400","JHE6400U3216JG      "
"Physical Memory 1","BANK 0","17179869184","7600","A-DATA Technology","6400","AX5U6400C3216G-BB300"
